Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T09:00:00.000000+0000,67.83,196.7,7.33,1.28,5.55,,25.4,1.94,8.55,4.23,,,,,,,,3.49,207.65,,0.0,,876.77,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T09:15:00.000000+0000,67.83,196.7,7.36,1.28,5.55,,25.4,1.94,8.55,4.23,,,,,,,,3.49,207.86,,0.0,,877.67,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T09:30:00.000000+0000,67.83,196.7,7.86,1.3,5.58,,25.4,1.94,8.55,4.23,,,,,,,,3.49,208.64,,0.0,,880.93,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T09:45:00.000000+0000,64.16,186.07,8.1,1.29,5.54,,24.03,1.84,8.09,4.01,,,,,,,,3.31,207.36,,0.0,,875.53,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T10:00:00.000000+0000,44.66,129.5,7.77,1.29,5.57,,16.72,1.28,5.63,2.79,,,,,,,,2.3,208.52,,0.0,,880.45,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T10:15:00.000000+0000,44.66,129.5,8.19,1.29,5.51,,16.72,1.28,5.63,2.79,,,,,,,,2.3,206.1,,0.0,,870.24,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T10:30:00.000000+0000,44.66,129.5,7.5,1.29,5.58,,16.72,1.28,5.63,2.79,,,,,,,,2.3,208.67,,0.0,,881.06,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T10:45:00.000000+0000,45.12,130.86,7.61,1.31,5.65,,16.9,1.29,5.69,2.82,,,,,,,,2.32,211.27,,0.0,,892.06,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T11:00:00.000000+0000,48.03,139.3,7.57,1.3,5.61,,17.99,1.37,6.06,3.0,,,,,,,,2.47,209.8,,0.0,,885.85,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T11:15:00.000000+0000,48.03,139.3,8.08,1.29,5.54,,17.99,1.37,6.06,3.0,,,,,,,,2.47,207.21,,0.0,,874.9,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T11:30:00.000000+0000,48.03,139.3,7.51,1.3,5.6,,17.99,1.37,6.06,3.0,,,,,,,,2.47,209.64,,0.0,,885.17,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T11:45:00.000000+0000,47.69,138.3,6.44,1.28,5.63,,17.86,1.37,6.01,2.98,,,,,,,,2.46,210.82,,0.0,,890.13,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T12:00:00.000000+0000,45.86,133.0,8.05,1.31,5.59,,17.18,1.31,5.78,2.86,,,,,,,,2.36,209.15,,0.0,,883.11,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T12:15:00.000000+0000,45.86,133.0,7.76,1.31,5.62,,17.18,1.31,5.78,2.86,,,,,,,,2.36,210.32,,0.0,,888.03,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T12:30:00.000000+0000,45.86,133.0,8.09,1.29,5.54,,17.18,1.31,5.78,2.86,,,,,,,,2.36,207.23,,0.0,,875.0,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T12:45:00.000000+0000,44.93,130.31,7.4,1.3,5.63,,16.83,1.29,5.67,2.8,,,,,,,,2.32,210.81,,0.0,,890.1,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T13:00:00.000000+0000,37.66,109.2,7.63,1.29,5.56,,14.1,1.08,4.75,2.35,,,,,,,,1.94,208.18,,0.0,,879.02,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T13:15:00.000000+0000,37.66,109.2,7.98,1.3,5.59,,14.1,1.08,4.75,2.35,,,,,,,,1.94,209.35,,0.0,,883.96,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T13:30:00.000000+0000,37.66,109.2,7.79,1.3,5.58,,14.1,1.08,4.75,2.35,,,,,,,,1.94,208.74,,0.0,,881.38,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T13:45:00.000000+0000,37.16,107.77,7.9,1.29,5.55,,13.92,1.06,4.69,2.32,,,,,,,,1.91,207.62,,0.0,,876.64,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T14:00:00.000000+0000,33.31,96.6,8.26,1.3,5.56,,12.48,0.95,4.2,2.08,,,,,,,,1.72,207.92,,0.0,,877.91,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T14:15:00.000000+0000,33.31,96.6,8.2,1.29,5.5,,12.48,0.95,4.2,2.08,,,,,,,,1.72,205.91,,0.0,,869.42,
site_292,Maharashtra,Pune,"Karve Road, Pune - MPCB",2024-01-01T14:30:00.000000+0000,33.31,96.6,7.93,1.29,5.53,,12.48,0.95,4.2,2.08,,,,,,,,1.72,207.04,,0.0,,874.2,
