persona,season,locality,rank_mean,rank_std,rank_median,p_rank1,p_top3,p_top5,p_top10,rank_95_lo,rank_95_hi
family_kids,Winter,Katraj,11.43,0.5,11.0,0.0,0.0,0.0,0.002,11.0,12.0
family_kids,Winter,Pimpri Chinchwad,11.74,1.59,12.0,0.0,0.0,0.0,0.202,9.0,14.0
family_kids,Winter,Bavdhan,12.71,1.28,13.0,0.0,0.0,0.0,0.068,10.0,15.0
family_kids,Winter,Kondhwa,13.64,0.5,14.0,0.0,0.0,0.0,0.0,13.0,14.0
family_kids,Winter,Mahalunge,15.03,0.37,15.0,0.0,0.0,0.0,0.0,14.0,16.0
family_kids,Winter,Hadapsar,16.91,1.25,17.0,0.0,0.0,0.0,0.0,15.0,19.0
family_kids,Winter,Kharadi,17.02,0.97,17.0,0.0,0.0,0.0,0.0,16.0,19.0
family_kids,Winter,Undri,17.94,1.08,18.0,0.0,0.0,0.0,0.0,16.0,19.0
family_kids,Winter,Magarpatta,18.03,0.84,18.0,0.0,0.0,0.0,0.0,17.0,19.0
family_kids,Winter,Moshi,20.58,0.63,21.0,0.0,0.0,0.0,0.0,20.0,22.0
family_kids,Winter,Keshav Nagar,20.59,0.64,21.0,0.0,0.0,0.0,0.0,20.0,22.0
family_kids,Winter,EON Free Zone,22.38,0.62,22.0,0.0,0.0,0.0,0.0,21.0,23.0
family_kids,Winter,NIBM Road,22.49,0.75,23.0,0.0,0.0,0.0,0.0,21.0,24.0
family_kids,Winter,Punawale,24.19,0.7,24.0,0.0,0.0,0.0,0.0,23.0,26.0
family_kids,Winter,Lohegaon,25.01,0.47,25.0,0.0,0.0,0.0,0.0,24.0,26.0
family_kids,Winter,Dhanori,25.76,0.49,26.0,0.0,0.0,0.0,0.0,24.0,26.0
family_kids,Winter,Manjri,26.99,0.1,27.0,0.0,0.0,0.0,0.0,27.0,27.0
remote_worker,Winter,Aundh,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
remote_worker,Winter,Koregaon Park,2.26,0.59,2.0,0.0,0.975,0.992,1.0,2.0,4.0
remote_worker,Winter,Baner,2.83,0.48,3.0,0.0,0.979,0.998,1.0,2.0,3.0
